"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C7","4.7uF","TopLayer","Cap_0.1uF_0603_SMD","2528.961","-83.882","180","4.7uF"
"C8","0.1uF","BottomLayer","Cap_0.1uF_0603_SMD","2529.211","-143.290","180","0.1uF 16V"
"C9","1nF","TopLayer","Cap_0.1uF_0603_SMD","2803.155","-518.064","360","0.1uF 16V"
"C10","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","2191.526","-676.045","180","0.1uF 16V"
"C11","10uF","TopLayer","Cap_0.1uF_0603_SMD","2190.096","-592.409","180","0.1uF 16V"
"C12","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","2018.894","-638.018","360","0.1uF 16V"
"C13","10uF","TopLayer","Cap_0.1uF_0603_SMD","1820.846","-583.909","360","0.1uF 16V"
"C14","0.1uF","BottomLayer","Cap_0.1uF_0603_SMD","4739.477","-79.255","180","1uF 16V"
"C15","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","2003.620","-1059.065","270","0.1uF 16V"
"C17","4.7uF","BottomLayer","Cap_0.1uF_0603_SMD","1886.071","-192.570","90","0.1uF 16V"
"C18","0.1uF","BottomLayer","Cap_0.1uF_0603_SMD","1791.930","-192.570","90","0.1uF"
"C19","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4047.329","-888.375","90","0.1uF 16V"
"C20","0.1uF","BottomLayer","Cap_0.1uF_0603_SMD","4604.502","-828.365","360","1uF 16V"
"C21","1uF","TopLayer","Cap_0.1uF_0603_SMD","2098.219","-1061.800","90","0.1uF 16V"
"C22","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","2222.122","-823.113","270","0.1uF 16V"
"C23","10uF","TopLayer","Cap_0.1uF_0603_SMD","2143.534","-823.113","270","0.1uF 16V"
"C24","0.1uF","BottomLayer","Cap_0.1uF_0603_SMD","2497.700","-548.953","270","0.1uF 16V"
"C25","10uF","BottomLayer","Cap_0.1uF_0603_SMD","2579.884","-551.677","270","0.1uF 16V"
"C26","1uF","BottomLayer","Cap_0.1uF_0603_SMD","1707.306","-197.021","90","1uF"
"C27","1uF","BottomLayer","Cap_0.1uF_0603_SMD","1696.784","-393.538","90","1uF"
"C28","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4381.215","-1041.066","270","0.1uF 16V"
"C29","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4478.934","-1041.972","270","10uF 16V"
"C30","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4045.482","-1038.078","270","0.1uF 16V"
"C31","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4153.163","-1039.812","270","10uF 16V"
"C32","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4648.535","-782.875","360","0.1uF 16V"
"C33","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4650.160","-890.129","360","10uF 16V"
"C34","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4757.414","-1041.972","270","0.1uF 16V"
"C35","0.1uF","TopLayer","Cap_0.1uF_0603_SMD","4605.252","-1041.921","270","10uF 16V"
"D3","SDM100K30L-7","BottomLayer","Diodo_SDM100K30L-7_SMD","3135.262","-747.002","180","Diodo SDM100K30L-7 SMD"
"IC1","DS3231","TopLayer","RTC_DS323116-SOIC","4110.079","-305.706","180","IC RTC CLK/CALENDAR I2C 16-SOIC"
"U6","CD4060BM96","TopLayer","C_BINARY_COUNTER/DIV/OSC_CD4060BM_16SOIC","2529.617","-343.126","0","CD4060BM96"
"U7","LTC1983ES6-5","BottomLayer","Reg_CHARGE_PUMP_-5V_SOT-23-6","4737.375","-194.607","90","REG CHARGE PUMP -5V TSOT23-6"
"U10","TL081BCD","BottomLayer","Amp._Op._CA3140AMZ_SOIC8","2301.869","-771.149","180","Operational Amplifier"
"U11","CA3140AMZ","BottomLayer","Amp._Op._CA3140AMZ_SOIC8","1872.657","-771.149","180","Operational Amplifier with MOSFET"
"U12","TPS60400DBVR","BottomLayer","Charge_Pump_Switching_Regulator_-_TPS60400DBVR","4599.438","-1016.519","90","Reg. inv. -3v"
"U13","AP7361-33D","TopLayer","Reg_3V_300mA_SOT23-3","4945.885","-1041.274","270","Regulador 3 0.3mA AP2125N-3.0TRG1"
"JP5","Grove","TopLayer","JST_TH_4_Pines_-_Horizontal","7320.000","-591.890","0","713-110990037"
"U9","LMV324","TopLayer","Op._Amp_LM324_SO-14","2012.504","-264.442","180","Op. Amp. GP 4 CIRCUIT 14SO"
"R8","4k7","TopLayer","Res_10K_0603_1/10W","2845.844","-815.340","360","10K"
"C16","2.2nF","BottomLayer","Cap_0.1uF_0603_SMD","1917.344","-1013.172","270","2.2nF 16V"
"JP7","JST SMD","TopLayer","JST_SMD_2_pines_-_2.54mm","651.390","-355.837","180","2 pines"
"U3","BQ25606RGER","BottomLayer","BQ25606RGER","6437.567","-587.622","180","IC BATT CHG LI-ION 1 CELL 24VQFN"
"JP3","3 pines","TopLayer","JST_SMD_3_PINES","1235.473","-804.213","360","485-4391"
"JP6","3 pines","TopLayer","JST_SMD_3_PINES","1230.473","-405.787","180","485-4391"
"C1","0.1uF","BottomLayer","Cap_0.1uF_0603_SMD","6189.038","-503.371","270","0.1uF 16V"
"C4","47nF","BottomLayer","Cap_0.1uF_0603_SMD","6365.000","-330.000","90","0.1uF 16V"
"C36","4.7uF","BottomLayer","Cap_0.1uF_0603_SMD","6450.000","-330.000","270","0.1uF 16V"
"C37","10uF","BottomLayer","Cap_0.1uF_0603_SMD","6530.000","-335.000","270","0.1uF 16V"
"C38","10uF","BottomLayer","Cap_0.1uF_0603_SMD","6225.000","-655.000","0","0.1uF 16V"
"D6","SM15T36CA","BottomLayer","SM15T36CA","6959.622","-537.433","270","TVS DIODE 30.8V 64.3V SMC"
"D7","SM15T36CA","BottomLayer","SM15T36CA","5998.430","-874.764","270","TVS DIODE 30.8V 64.3V SMC"
"L1","1uH","BottomLayer","74438336010","6208.567","-338.622","180","FIXED IND 1UH 4A 32 MOHM SMD"
"LED1","LED Rojo","BottomLayer","LED_Rojo_0603","6635.000","-670.000","180","LED Rojo 0603"
"R9","10K","BottomLayer","Res_1K_0603_1/8W","6624.094","-505.174","360","1K SMD"
"R40","2k2","BottomLayer","Res_1K_0603_1/8W","6610.000","-818.464","270","1K SMD"
"R41","1K","BottomLayer","Res_1K_0603_1/8W","6435.000","-820.000","270","1K SMD"
"R45","1K","BottomLayer","Res_1K_0603_1/8W","6515.000","-820.000","270","1K SMD"
"R46","2K2","BottomLayer","Res_1K_0603_1/8W","6625.000","-585.000","180","1K SMD"
"R47","5K23","BottomLayer","Res_1K_0603_1/8W","6355.000","-820.000","270","1K SMD"
"R48","30K","BottomLayer","Res_1K_0603_1/8W","6275.000","-820.000","90","1K SMD"
"R49","10K","BottomLayer","Res_1K_0603_1/8W","6195.000","-820.000","90","1K SMD"
"W3","Jumper","BottomLayer","Jumper","6726.949","-885.408","360","Jumper Wire"
